sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Láminas flexibles para impermeabilización. Láminas bituminosas, plásticas y de caucho para la impermeabilización de cubiertas. Determinación de la estanquidad al agua";"";"Asociación Española de Normalización y Certificación (AENOR)";"2000";"";"";"";"UNE-EN 1928";"91.100.50-10";"Materiales impermeabilizantes; Láminas flexibles; Cubiertas; Techos; Métodos de determinación; Estanquidad";""
"Resinas de intercambio iónico. Método de determinación del agua retenida luego de la preparación de la muestra para ensayos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1970";"";"";"";"IRAM 41303";"71.100.80";"Resinas de intercambio iónico; Métodos de determinación; Agua; Preparación; Muestras; Ensayos";""
"Resinas de intercambio iónico. Método de determinación de la dureza de las aguas empleadas para su ensayo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 41306";"71.100.80";"Resinas de intercambio iónico; Métodos de determinacion; Resistencia de materiales; Dureza; Agua; Ensayos";""
"Resinas de intercambio iónico. Método de determinación de la alcalinidad de aguas utilizadas para su ensayo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1970";"";"";"";"IRAM 41307";"71.100.80";"Resinas de intercambio iónico; Métodos de determinacion; Alcalinidad; Agua; Ensayos";""
"Resinas de intercambio iónico. Método de determinación de la acidez de aguas utilizadas para su ensayo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 41308";"71.100.80";"Resinas de intercambio iónico; Métodos de determinacion; Acidez; Agua; Ensayos";""
"Resinas de intercambio iónico. Clasificación de las resinas utilizadas para tratamiento industrial de aguas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 41316";"71.100.80";"Resinas de intercambio iónico; Clasificación; Tratamiento de aguas";""
"Resinas de intercambio aniónico. Método de determinación de la capacidad para eliminar silicatos de aguas descarbonatados y desmineralizados";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1977";"";"";"";"IRAM 41319";"71.100.80";"Resinas de intercambio aniónico; Métodos de determinación; Eliminación; Silicatos; Tratamiento de aguas";""
"Resinas de intercambio iónico. Método de determinación de la capacidad total de intercambio en resinas de intercambio aniónico";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 41320";"71.100.80";"Resinas de intercambio iónico; Métodos de determinación; Capacidad total; Intercambio aniónico; Tratamiento de aguas";""
"Resinas de intercambio iónico. Método de determinación de la capacidad de intercambiar cloruros de las resinas de intercambio aniónico";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 41321";"71.100.80";"Resinas de intercambio iónico; Métodos de determinación; Cloruros; Intercambio aniónico; Tratamiento de aguas";""
"Resinas de intercambio iónico. Método de determinación de la capacidad de intercambio aniónico debido a los grupos fuertemente básicos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 41322";"71.100.80";"Resinas de intercambio iónico; Métodos de determinación; Intercambio aniónico; Tratamiento de aguas";""
"Resinas de intercambio iónico. Método de determinación de la capacidad de intercambio de los grupos débilmente básicos, en resinas de intercambio aniónico";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 41323";"71.100.80";"Resinas de intercambio iónico; Métodos de determinación; Intercambio aniónico; Tratamiento de aguas";""
"Anticongelantes para sistemas de enfriamiento de motores. Método de determinación de la cavitación y erosión producidas por sus soluciones acuosas en bombas de aluminio para agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1972";"";"";"";"IRAM 41364";"71.100.45";"Motores; Anticongelantes; Enfriamiento; Métodos de determinación; Cavitación; Erosión; Soluciones acuosas; Bombas; Aluminio; Agua";""
"Mobiliario. Valoración de la ignición de colchones y bases tapizadas. Parte 1: fuente de ignición: cigarrillo en combustión";"";"Asociación Española de Normalización y Certificación (AENOR)";"1995";"";"";"";"UNE-EN 597-1";"97.140; 13.220.40";"Muebles; Mobiliario; Camas; Colchones; Bases tapizadas; Métodos de ensayo; Fuego; Ignición; Combustión; Cigarrillos";""
